Course,Enroll,GPA,yearly_num,dept,num,index
FMPH 40,898,3.5192650334075726,446,FMPH,40,0
FMPH 101,541,3.0531977818853973,274,FMPH,101,1
FMPH 102,486,3.356358024691358,277,FMPH,102,2
FMPH 110,510,3.706647058823529,324,FMPH,110,3
FMPH 120,489,3.344723926380368,238,FMPH,120,4
FMPH 130,386,3.715103626943005,207,FMPH,130,5
FMPH 155,58,3.5018965517241383,33,FMPH,155,6
FMPH 161,201,3.8234328358208955,134,FMPH,161,7
FMPH 191,275,3.738909090909091,193,FMPH,191,8
FMPH 193,299,3.915652173913043,197,FMPH,193,9
FMPH 194,312,3.943301282051282,170,FMPH,194,10
FMPH 196A,40,3.94,20,FMPH,196,11
FMPH 196C,40,3.9850000000000003,20,FMPH,196,12
